,x,y,time,theta
0.0,827.4638061523438,570.7540893554688,0.6374521255493164,0.12824741578135307
1.0,836.0,742.0,0.7164826393127441,0.25102501017426465
2.0,817.5550537109375,526.7722778320312,0.738610029220581,0.09613754944228015
3.0,823.5,742.5,0.7567346096038818,0.25137779635137963
4.0,832.1928100585938,525.119873046875,0.7761514186859131,0.09492702483492854
5.0,813.3497314453125,736.38525390625,0.8026726245880127,0.24706098826532336
6.0,825.3692626953125,843.9315795898438,0.8347747325897217,0.32219479431625814
7.0,837.5,649.0,0.8710541725158691,0.18481332623305657
8.0,831.0,600.5,0.9027941226959229,0.1498387056828001
9.0,806.450439453125,588.3018188476562,0.9347312450408936,0.1409971623424821
10.0,825.0,588.0,0.9709715843200684,0.14077817278998161
11.0,830.591796875,644.6815185546875,1.0027201175689697,0.18171106236791607
12.0,830.13037109375,607.7465209960938,1.0348312854766846,0.15508273054848593
13.0,829.0084228515625,619.0205688476562,1.0706090927124023,0.1632286532046498
14.0,831.9819946289062,606.2940673828125,1.1026809215545654,0.15403215414878568
15.0,835.0,603.0,1.1347200870513916,0.1516485730744187
16.0,835.0746459960938,569.3712768554688,1.1712191104888916,0.12724118001869672
17.0,834.5768432617188,609.5,1.2030882835388184,0.15635070160796438
18.0,822.5,611.0,1.2346389293670654,0.15743508143045326
19.0,847.5,583.0,1.270988941192627,0.1371487818925627
20.0,833.5028076171875,564.5140991210938,1.302621603012085,0.12370500317033023
21.0,813.0,421.0,1.3352584838867188,0.018092456695695758
22.0,834.4951782226562,603.1279907226562,1.37091064453125,0.15174121134806157
23.0,827.5,411.0,1.4027421474456787,0.010659195623834328
24.0,832.0780029296875,610.7108154296875,1.434779167175293,0.15722604543272423
25.0,833.317138671875,608.7616577148438,1.4708929061889648,0.1558168389476926
26.0,847.0,412.5,1.502779483795166,0.011774741657449739
27.0,819.5,625.0,1.534956693649292,0.16754269183214077
28.0,821.5,412.5,1.5712225437164307,0.011774741657449739
29.0,846.0,405.5,1.6034867763519287,0.006567197563906391
30.0,830.5,558.5,1.6347243785858154,0.11932282407540529
31.0,838.5676879882812,568.886474609375,1.6710262298583984,0.12688835032357382
32.0,848.5194702148438,402.2597961425781,1.7027442455291748,0.004155273283216632
33.0,841.0,411.0,1.7351603507995605,0.010659195623834328
34.0,828.7556762695312,592.3055419921875,1.7708795070648193,0.1439011097849472
35.0,846.5,404.0,1.8027894496917725,0.005450747496412889
36.0,833.5,604.5,1.8350434303283691,0.15273413259476343
37.0,834.0,411.5,1.8709213733673096,0.011031065989311029
38.0,822.3826293945312,617.311767578125,1.902949571609497,0.16199497893794573
39.0,831.0,606.5,1.934685230255127,0.15418112310528076
40.0,832.5,607.0,1.9707062244415283,0.15454279521040004
41.0,843.5,575.5,2.0025794506073,0.13169921142912333
42.0,831.5,415.5,2.034620523452759,0.014005246446137654
43.0,828.0,610.0,2.070810556411743,0.15671219192307123
44.0,834.0,602.5,2.1026177406311035,0.15128665969532012
45.0,831.0,600.5,2.1347262859344482,0.1498387056828001
46.0,871.5,412.5,2.1707708835601807,0.011774741657449739
47.0,835.0,582.5,2.2026419639587402,0.13678568141159891
48.0,837.5,429.5,2.234607219696045,0.02440377606730415
49.0,830.4229736328125,611.2811279296875,2.2709033489227295,0.15763828396488827
50.0,830.0,408.5,2.3025612831115723,0.008799519435390257
51.0,834.5,409.5,2.334606885910034,0.00954345468762613
